,1B,2B,3B,C,OF1,OF2,OF3,P1,P2,SS,TotalPoints,TotalOwnership
0,Anthony_Rizzo_NYY,Wilmer_Flores_SF,Manny_Machado_SD,Kyle_Higashioka_NYY,Luis_Gonzalez_SF,Mike_Yastrzemski_SF,Seiya_Suzuki_CHC,Carlos_Rodon_SF,Clayton_Kershaw_LAD,Isiah_Kiner-Falefa_NYY,94.59,98.1
1,Anthony_Rizzo_NYY,Wilmer_Flores_SF,Matt_Carpenter_NYY,Willson_Contreras_CHC,Joc_Pederson_SF,Mike_Yastrzemski_SF,Seiya_Suzuki_CHC,Carlos_Rodon_SF,Clayton_Kershaw_LAD,Isiah_Kiner-Falefa_NYY,94.39000000000001,99.80000000000001
2,Anthony_Rizzo_NYY,Wilmer_Flores_SF,Matt_Carpenter_NYY,Willson_Contreras_CHC,LaMonte_Wade_Jr._SF,Mike_Yastrzemski_SF,Seiya_Suzuki_CHC,Carlos_Rodon_SF,Clayton_Kershaw_LAD,Isiah_Kiner-Falefa_NYY,94.26000000000002,100.0
3,Anthony_Rizzo_NYY,Jake_Cronenworth_SD,Manny_Machado_SD,Kyle_Higashioka_NYY,Joc_Pederson_SF,Luis_Gonzalez_SF,Mike_Yastrzemski_SF,Carlos_Rodon_SF,Clayton_Kershaw_LAD,Isiah_Kiner-Falefa_NYY,94.15,97.69999999999999
4,Anthony_Rizzo_NYY,Jake_Cronenworth_SD,Manny_Machado_SD,Kyle_Higashioka_NYY,LaMonte_Wade_Jr._SF,Luis_Gonzalez_SF,Mike_Yastrzemski_SF,Carlos_Rodon_SF,Clayton_Kershaw_LAD,Isiah_Kiner-Falefa_NYY,94.02000000000001,97.9
5,Anthony_Rizzo_NYY,Wilmer_Flores_SF,Manny_Machado_SD,Kyle_Higashioka_NYY,Ian_Happ_CHC,Joc_Pederson_SF,Mike_Yastrzemski_SF,Carlos_Rodon_SF,Clayton_Kershaw_LAD,Isiah_Kiner-Falefa_NYY,93.85000000000002,98.30000000000001
6,Anthony_Rizzo_NYY,Wilmer_Flores_SF,Manny_Machado_SD,Kyle_Higashioka_NYY,Ian_Happ_CHC,LaMonte_Wade_Jr._SF,Mike_Yastrzemski_SF,Carlos_Rodon_SF,Clayton_Kershaw_LAD,Isiah_Kiner-Falefa_NYY,93.72,98.5
7,Anthony_Rizzo_NYY,Christopher_Morel_CHC,Matt_Carpenter_NYY,Willson_Contreras_CHC,Joc_Pederson_SF,Luis_Gonzalez_SF,Mike_Yastrzemski_SF,Carlos_Rodon_SF,Robbie_Ray_SEA,Isiah_Kiner-Falefa_NYY,93.62,99.6
8,Anthony_Rizzo_NYY,Jake_Cronenworth_SD,David_Villar_SF,Willson_Contreras_CHC,Aaron_Hicks_NYY,Joc_Pederson_SF,Mike_Yastrzemski_SF,Carlos_Rodon_SF,Clayton_Kershaw_LAD,Isiah_Kiner-Falefa_NYY,93.52000000000001,99.20000000000002
9,Anthony_Rizzo_NYY,Christopher_Morel_CHC,Matt_Carpenter_NYY,Jorge_Alfaro_SD,LaMonte_Wade_Jr._SF,Luis_Gonzalez_SF,Mike_Yastrzemski_SF,Carlos_Rodon_SF,Clayton_Kershaw_LAD,Isiah_Kiner-Falefa_NYY,93.42000000000002,98.79999999999998
10,Anthony_Rizzo_NYY,Jake_Cronenworth_SD,David_Villar_SF,Kyle_Higashioka_NYY,Joc_Pederson_SF,Luis_Gonzalez_SF,Seiya_Suzuki_CHC,Carlos_Rodon_SF,Clayton_Kershaw_LAD,Isiah_Kiner-Falefa_NYY,93.32000000000002,97.6
