"Name","Salary","Position","Matchup","Team","Opponent","Ownership %"
"Carlos Rodon","8,400","SP","SF@SD","SF","SD","53.6"
"Clayton Kershaw","8,500","SP","CHC@LAD","LAD","CHC","48.8"
"Aaron Judge","5,900","OF","NYY@BOS","NYY","BOS","39.2"
"Yu Darvish","7,900","SP","SF@SD","SD","SF","34.2"
"Gleyber Torres","4,200","2B","NYY@BOS","NYY","BOS","31.6"
"Giancarlo Stanton","5,100","OF","NYY@BOS","NYY","BOS","30.6"
"Josh Donaldson","3,900","3B","NYY@BOS","NYY","BOS","29.4"
"Anthony Rizzo","4,900","1B","NYY@BOS","NYY","BOS","25.1"
"Aaron Hicks","2,600","OF","NYY@BOS","NYY","BOS","25.1"
"Alek Manoah","9,100","SP","TOR@SEA","TOR","SEA","23.6"
"Mookie Betts","5,600","OF","CHC@LAD","LAD","CHC","23.0"
"Trea Turner","5,700","SS","CHC@LAD","LAD","CHC","22.7"
"Matt Carpenter","3,800","3B/OF","NYY@BOS","NYY","BOS","22.5"
"Max Muncy","4,400","2B/3B","CHC@LAD","LAD","CHC","22.4"
"Will Smith","4,500","C","CHC@LAD","LAD","CHC","21.6"
"Kyle Higashioka","2,700","C","NYY@BOS","NYY","BOS","19.6"
"Isiah Kiner-Falefa","3,000","SS","NYY@BOS","NYY","BOS","19.4"
"Robbie Ray","9,700","SP","TOR@SEA","SEA","TOR","19.2"
"George Springer","4,700","OF","TOR@SEA","TOR","SEA","17.0"
"Freddie Freeman","5,200","1B","CHC@LAD","LAD","CHC","16.2"
"Xander Bogaerts","4,300","SS","NYY@BOS","BOS","NYY","15.8"
"Trevor Story","4,000","2B","NYY@BOS","BOS","NYY","15.5"
"Vladimir Guerrero Jr.","4,900","1B","TOR@SEA","TOR","SEA","15.2"
"Gavin Lux","3,700","2B/OF","CHC@LAD","LAD","CHC","15.2"
"Jake Lamb","2,500","1B/OF","CHC@LAD","LAD","CHC","15.0"
"Jordan Montgomery","6,500","SP","NYY@BOS","NYY","BOS","14.9"
"Teoscar Hernandez","4,200","OF","TOR@SEA","TOR","SEA","13.8"
"Rob Refsnyder","3,400","OF","NYY@BOS","BOS","NYY","13.7"
"J.D. Martinez","4,600","OF","NYY@BOS","BOS","NYY","13.1"
"Bobby Dalbec","2,200","1B","NYY@BOS","BOS","NYY","12.2"
"Alejandro Kirk","4,800","C","TOR@SEA","TOR","SEA","11.9"
"Bo Bichette","5,500","SS","TOR@SEA","TOR","SEA","11.6"
"Matt Chapman","3,700","3B","TOR@SEA","TOR","SEA","11.3"
"Cody Bellinger","4,000","OF","CHC@LAD","LAD","CHC","11.0"
"Julio Rodriguez","5,400","OF","TOR@SEA","SEA","TOR","10.6"
"Ha-Seong Kim","2,900","3B/SS","SF@SD","SD","SF","10.2"
"Wilmer Flores","3,200","2B","SF@SD","SF","SD","9.6"
"LaMonte Wade Jr.","2,600","OF","SF@SD","SF","SD","9.6"
"Joc Pederson","4,400","OF","SF@SD","SF","SD","9.4"
"Dylan Moore","2,700","OF/SS","TOR@SEA","SEA","TOR","9.4"
"Brandon Crawford","2,400","SS","SF@SD","SF","SD","8.8"
"Christian Vazquez","4,300","C","NYY@BOS","BOS","NYY","8.7"
"Brandon Belt","3,600","1B","SF@SD","SF","SD","7.9"
"Manny Machado","4,700","3B","SF@SD","SD","SF","7.8"
"Eugenio Suarez","4,300","3B","TOR@SEA","SEA","TOR","7.7"
"Christopher Morel","3,900","2B/OF","CHC@LAD","CHC","LAD","7.6"
"Lourdes Gurriel Jr.","3,600","OF","TOR@SEA","TOR","SEA","7.3"
"Cal Raleigh","3,800","C","TOR@SEA","SEA","TOR","7.1"
"Luis Gonzalez","2,300","OF","SF@SD","SF","SD","7.1"
"Austin Barnes","3,300","C","CHC@LAD","LAD","CHC","6.7"
"Carlos Santana","2,800","1B","TOR@SEA","SEA","TOR","6.6"
"David Villar","2,200","3B","SF@SD","SF","SD","6.6"
"Alex Verdugo","3,800","OF","NYY@BOS","BOS","NYY","6.5"
"Patrick Wisdom","4,500","3B","CHC@LAD","CHC","LAD","6.3"
"Abraham Toro","3,400","2B/3B","TOR@SEA","SEA","TOR","6.3"
"J.P. Crawford","3,600","SS","TOR@SEA","SEA","TOR","6.2"
"Santiago Espinal","3,700","2B","TOR@SEA","TOR","SEA","5.9"
"Kevin Plawecki","2,700","C","NYY@BOS","BOS","NYY","5.9"
"Seiya Suzuki","4,500","OF","CHC@LAD","CHC","LAD","5.3"
"Ty France","4,400","1B","TOR@SEA","SEA","TOR","5.2"
"Jake Cronenworth","3,900","2B","SF@SD","SD","SF","5.1"
"Adam Frazier","2,300","2B","TOR@SEA","SEA","TOR","4.8"
"Luke Voit","3,300","1B","SF@SD","SD","SF","4.4"
"Willson Contreras","5,800","C","CHC@LAD","CHC","LAD","4.3"
"Kutter Crawford","5,500","SP","NYY@BOS","BOS","NYY","4.2"
"Mike Yastrzemski","3,500","OF","SF@SD","SF","SD","4.2"
"Raimel Tapia","2,000","OF","TOR@SEA","TOR","SEA","4.1"
"Nico Hoerner","3,800","SS","CHC@LAD","CHC","LAD","3.9"
"Jarren Duran","4,300","OF","NYY@BOS","BOS","NYY","3.6"
"Austin Wynns","2,000","C","SF@SD","SF","SD","3.5"
"Jorge Alfaro","3,500","C","SF@SD","SD","SF","3.3"
"Ian Happ","4,100","OF","CHC@LAD","CHC","LAD","3.2"
"Austin Nola","3,100","C","SF@SD","SD","SF","3.2"
"Yan Gomes","2,400","C","CHC@LAD","CHC","LAD","3.0"
"Nelson Velazquez","2,100","OF","CHC@LAD","CHC","LAD","2.8"
"Brent Rooker","2,000","OF","SF@SD","SD","SF","2.8"
