"Name","Fpts","Position","Team","Team Total","Postponement","Salary","Pts/$","Value","Slate"
"Brandon Woodruff","19.81","P","MIL","3.2","0","10,000","2.0","-0.2","Early"
"Carlos Rodon","19.80","P","SF","3.5","0","8,400","2.4","3.0","Main"
"Clayton Kershaw","19.35","P","LAD","3.5","0","8,500","2.3","2.3","Main"
"Robbie Ray","18.85","P","SEA","4.2","0","9,700","1.9","-0.5","Main"
"Yu Darvish","18.11","P","SD","3.7","0","7,900","2.3","2.3","Main"
"Framber Valdez","17.91","P","HOU","3.3","0","9,700","1.8","-1.5","Early"
"Carlos Carrasco","17.23","P","NYM","3.9","0","7,500","2.3","2.2","Early"
"Kyle Wright","16.94","P","ATL","4.2","0","9,000","1.9","-1.1","Early"
"Alek Manoah","16.78","P","TOR","3.8","0","9,100","1.8","-1.4","Main"
"Martin Perez","15.21","P","TEX","4.3","0","8,700","1.7","-2.2","Early"
"Johnny Cueto","14.80","P","CWS","4.1","0","8,300","1.8","-1.8","Other"
"Triston McKenzie","14.51","P","CLE","4.2","0","8,000","1.8","-1.5","Early"
"Jordan Montgomery","14.36","P","NYY","4.2","0","6,500","2.2","1.4","Main"
"Hunter Greene","14.25","P","CIN","5.7","0","7,800","1.8","-1.4","Early"
"Patrick Sandoval","14.05","P","LAA","4.2","0","7,400","1.9","-0.8","Early"
"Madison Bumgarner","13.13","P","ARI","4.6","0","7,300","1.8","-1.5","Early"
"Kutter Crawford","12.02","P","BOS","5.5","0","5,500","2.2","1.0","Main"
"Ronald Acuna Jr.","11.93","OF","ATL","5.9","0","6,100","2.0","-0.3","Early"
"Kyle Freeland","11.89","P","COL","4.9","0","6,500","1.8","-1.1","Early"
"Dean Kremer","11.80","P","BAL","4.5","0","7,600","1.6","-3.4","Early"
"Kyle Gibson","11.69","P","PHI","4.7","0","7,800","1.5","-3.9","Other"
"Patrick Corbin","11.62","P","WAS","5.9","0","6,800","1.7","-2.0","Early"
"Drew Rasmussen","11.38","P","TB","4.6","0","7,900","1.4","-4.4","Early"
"Aaron Judge","11.30","OF","NYY","5.5","0","5,900","1.9","-0.5","Main"
"Devin Smeltzer","11.19","P","MIN","4.5","0","7,100","1.6","-3.0","Early"
"Braxton Garrett","11.10","P","MIA","4.7","0","6,300","1.8","-1.5","Early"
"Jose Ramirez","11.08","3B","CLE","5.1","0","5,400","2.1","0.3","Early"
"Marcus Stroman","11.05","P","CHC","5.0","0","8,000","1.4","-5.0","Main"
"Garrett Hill","10.19","P","DET","5.0","0","7,400","1.4","-4.6","Other"
"Zach Thompson","10.05","P","PIT","4.7","0","6,700","1.5","-3.4","Early"
"Dakota Hudson","10.04","P","STL","4.6","0","6,800","1.5","-3.6","Other"
"Jose Altuve","10.02","2B","HOU","5.3","0","5,800","1.7","-1.6","Early"
"Wander Franco","9.99","SS","TB","5.7","0","4,600","2.2","0.8","Early"
"Austin Riley","9.95","3B","ATL","5.9","0","5,300","1.9","-0.7","Early"
"Trea Turner","9.93","SS","LAD","5.0","0","5,700","1.7","-1.5","Main"
"Zach Logue","9.89","P","OAK","5.3","0","7,800","1.3","-5.7","Early"
"Randy Arozarena","9.70","OF","TB","5.7","0","5,000","1.9","-0.3","Early"
"Yordan Alvarez","9.67","OF","HOU","5.3","0","6,500","1.5","-3.3","Early"
"Shohei Ohtani","9.67","1B/OF","LAA","4.5","0","6,400","1.5","-3.1","Early"
"Dansby Swanson","9.66","SS","ATL","5.9","0","5,400","1.8","-1.1","Early"
"Mookie Betts","9.65","OF","LAD","5.0","0","5,600","1.7","-1.5","Main"
"Byron Buxton","9.58","OF","MIN","4.3","0","6,200","1.5","-2.8","Early"
"Luis Robert","9.51","OF","CWS","5.0","0","4,600","2.1","0.3","Other"
"Tim Anderson","9.48","SS","CWS","5.0","0","5,100","1.9","-0.7","Other"
"Mike Trout","9.43","OF","LAA","4.5","0","5,700","1.7","-2.0","Early"
"Kyle Schwarber","9.43","OF","PHI","4.6","0","5,800","1.6","-2.2","Other"
"Anthony Rizzo","9.39","1B","NYY","5.5","0","4,900","1.9","-0.4","Main"
"Freddie Freeman","9.37","1B","LAD","5.0","0","5,200","1.8","-1.0","Main"
"Starling Marte","9.31","OF","NYM","4.7","0","6,300","1.5","-3.3","Early"
"Paul Goldschmidt","9.31","1B","STL","4.7","0","4,900","1.9","-0.5","Other"
"Jonathan Heasley","9.29","P","KC","5.1","0","5,800","1.6","-2.3","Early"
"Giancarlo Stanton","9.22","OF","NYY","5.5","0","5,100","1.8","-1.0","Main"
"Kyle Tucker","9.11","OF","HOU","5.3","0","5,200","1.8","-1.3","Early"
"Juan Soto","9.10","OF","WAS","4.2","0","5,600","1.6","-2.1","Early"
"Marcus Semien","8.99","2B","TEX","4.5","0","5,200","1.7","-1.4","Early"
"Ketel Marte","8.98","2B/OF","ARI","4.9","0","4,500","2.0","0.0","Early"
"Pete Alonso","8.96","1B","NYM","4.7","0","5,500","1.6","-2.0","Early"
"Harold Ramirez","8.84","OF","TB","5.7","0","3,200","2.8","2.4","Early"
"Gleyber Torres","8.76","2B","NYY","5.5","0","4,200","2.1","0.4","Main"
"Matt Olson","8.75","1B","ATL","5.9","0","4,300","2.0","0.2","Early"
"Josh Lowe","8.74","OF","TB","5.7","0","2,300","3.8","4.1","Early"
"Ji-Man Choi","8.69","1B","TB","5.7","0","3,700","2.3","1.3","Early"
"Brandon Nimmo","8.65","OF","NYM","4.7","0","5,300","1.6","-1.9","Early"
"Jose Abreu","8.62","1B","CWS","5.0","0","5,000","1.7","-1.4","Other"
"Josh Naylor","8.58","1B","CLE","5.1","0","4,200","2.0","0.2","Early"
"Willy Adames","8.51","SS","MIL","4.7","0","6,000","1.4","-3.5","Early"
"Rhys Hoskins","8.48","1B","PHI","4.6","0","4,700","1.8","-0.9","Other"
"Julio Rodriguez","8.46","OF","SEA","3.8","0","5,400","1.6","-2.3","Main"
"Christian Yelich","8.45","OF","MIL","4.7","0","5,900","1.4","-3.4","Early"
"Rowdy Tellez","8.45","1B","MIL","4.7","0","5,600","1.5","-2.7","Early"
"Vladimir Guerrero Jr.","8.42","1B","TOR","4.2","0","4,900","1.7","-1.4","Main"
"Cedric Mullins","8.39","OF","BAL","4.2","0","5,500","1.5","-2.6","Early"
"Marcell Ozuna","8.32","OF","ATL","5.9","0","4,000","2.1","0.3","Early"
"Kris Bryant","8.29","OF","COL","4.6","0","4,400","1.9","-0.5","Early"
"Isaac Paredes","8.28","1B/2B","TB","5.7","0","4,400","1.9","-0.5","Early"
"Alex Bregman","8.27","3B","HOU","5.3","0","5,000","1.7","-1.7","Early"
"Adolis Garcia","8.27","OF","TEX","4.5","0","4,600","1.8","-0.9","Early"
"Steven Kwan","8.26","OF","CLE","5.1","0","3,500","2.4","1.3","Early"
"Travis d'Arnaud","8.25","C","ATL","5.9","0","4,800","1.7","-1.4","Early"
"Christian Walker","8.24","1B","ARI","4.9","0","3,900","2.1","0.4","Early"
"Juan Yepez","8.22","OF","STL","4.7","0","3,500","2.3","1.2","Other"
"Connor Joe","8.21","OF","COL","4.6","0","4,200","2.0","-0.2","Early"
"Nolan Arenado","8.20","3B","STL","4.7","0","4,500","1.8","-0.8","Other"
"Andrew Vaughn","8.19","1B/OF","CWS","5.0","0","4,100","2.0","0.0","Other"
"Josh Donaldson","8.18","3B","NYY","5.5","0","3,900","2.1","0.4","Main"
"Nolan Gorman","8.18","2B","STL","4.7","0","3,200","2.6","1.8","Other"
"Will Smith","8.16","C","LAD","5.0","0","4,500","1.8","-0.8","Main"
"Amed Rosario","8.15","SS","CLE","5.1","0","5,300","1.5","-2.4","Early"
"Francisco Lindor","8.14","SS","NYM","4.7","0","5,700","1.4","-3.3","Early"
"Andres Gimenez","8.13","2B","CLE","5.1","0","4,000","2.0","0.1","Early"
"George Springer","8.12","OF","TOR","4.2","0","4,700","1.7","-1.3","Main"
"Franmil Reyes","8.11","OF","CLE","5.1","0","3,200","2.5","1.7","Early"
"Brandon Drury","8.05","3B","CIN","4.6","0","5,100","1.6","-2.2","Early"
"Nick Castellanos","8.01","OF","PHI","4.6","0","4,300","1.9","-0.6","Other"
"Jared Walsh","8.00","1B","LAA","4.5","0","3,500","2.3","1.0","Early"
"Manny Machado","7.96","3B","SD","3.5","0","4,700","1.7","-1.4","Main"
"Jonathan India","7.95","2B","CIN","4.6","0","3,900","2.0","0.1","Early"
"Yuli Gurriel","7.95","1B","HOU","5.3","0","3,400","2.3","1.2","Early"
"Ryan Mountcastle","7.92","1B","BAL","4.2","0","4,000","2.0","-0.1","Early"
"Bobby Witt Jr.","7.89","SS","KC","4.2","0","4,800","1.6","-1.7","Early"
